questions,option_A,option_B,option_C,option_D,correct_answer
"Varón de 26 años con retraso mental leve, independiente en su cuidado personal, pero no es capaz de cruzar las calles ni 
administrar su dinero, tiene pocos intereses, asiste a un taller donde empaca productos, dificultades con tareas nuevas que 
implican seguir instrucciones y no se lleva bien con el supervisor, se frustra con facilidad por no ser capaz de hacer lo que 
otro joven de su edad. ¿Qué modelo se centra en la ocupación?",MOHO,Neurodesarrollo,Desempeño ocupacional,Canadiense,A
El análisis de la situación actual es una fase del planeamiento estratégico. ¿En qué fase del ciclo se encuentra?,3,4,2,1,D
"Se reportan 2 casos de peste en el hospital y se ha restringido el ingreso. Los casos son de la comunidad y no se sabe si hay 
más casos. ¿Cuál es la medida inicial a tomar?",Medidas de bioseguridad e identificar las casas de infectados,Ordenamiento ambiental,Control de roedores,Medidas de control químico de pulgas,A
"En el centro de salud, el serumista, atiende a varón de 20 años y le brinda consejería sobre salud bucal con la técnica del 
cepillado e hilo dental. ¿Qué desea implementar en la persona?",Motivación,Autocuidado,Destreza,Cambio de dieta,B
"Si se orienta la formulación y actualización de las políticas y los planes en todos los niveles del gobierno, se refiere a ...…, a 
las cuales debe alinear sus objetivos operativos.",estrategias institucionales,acciones institucionales,desarrollos institucionales,organizaciones institucionales,A
Respecto a la recuperación de TB. ¿Qué acciones realizan los establecimientos de primer nivel?,Consulta ambulatoria por médico especialista,"Detección, diagnóstico y tratamiento de casos de TB",Atención de urgencias y emergencias,Hospitalización según capacidad resolutiva y necesidad,B
"¿Cuáles son los medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país, que luego de 
una evaluación técnica especializada multidisciplinaria han demostrado ser seguros, eficaces, costo-efectivos y deben estar 
disponibles en todo momento?",Genéricos,Esenciales,Básicos,Comunes,B
"Niño de 6 años acude al servicio de terapia ocupacional por presentar disfunción sensorial, su tratamiento en integración 
sensorial según J. Ayres incluye:",Feedback e imputa sensorial,Planificación motriz y modulación sensorial,Experiencia sensorial y respuesta adaptativa,Relación social y perfil sensorial,C
"Mujer de 32 años, con discapacidad motora moderada, labora en un centro de salud, fue contratada como parte de la cuota 
de empleo de personas con discapacidad, según la Ley 29973, su empleador no cumple con realizar la adaptación de las 
herramientas, las maquinarias y el entorno de trabajo según sus necesidades. ¿Qué debe exigir?",Infraestructura adaptada,Modificaciones razonables,Ayudas técnicas,Ajustes razonables,D
"Varón de 58 años acude al servicio de terapia ocupacional con una hemiparesia derecha, asimetría corporal, dificultad para 
comunicarse y realizar las actividades básicas de la vida diaria, se mostró ansioso, sobre todo por la dependencia hacia otra 
persona. ¿Qué tipo de evaluación se realiza para objetivar su desempeño en las ABVD?",Test de PFEIFFER,Índice de Lawton,Escala de SMAF,Índice de Barthel,D
"En el proceso de redacción del informe final de su estudio transversal analítico sobre la relación entre la ingesta de bebidas 
gaseosas y sobrepeso; usted desea que todas las secciones tengan coherencia entre sí. ¿Qué herramienta debe usar para 
verificarla?",Lista de verificación,Matriz de operacionalización,Matriz de consistencia,Revisión de Turnitin,C
"En el informe final de su investigación sobre ansiedad en estudiantes de secundaria, requiere compartir la descripción 
del instrumento de screening de ansiedad utilizado, su validez y confiabilidad. ¿En qué sección de su informe debe incluirla?",Resultados,Introducción,Metodología,Marco teórico,C
"En la metodología del análisis FODA, el comportamiento de la población, costumbre y hábitos negativos que son difíciles de 
cambiar, se identifican como:",Debilidades,Negatividad,Oportunidades,Amenazas,D
¿Cuáles son los principales ejes estratégicos que garantizan el éxito de la participación comunitaria en la planeación en salud?,"El abordaje territorial, espacios participativos y la familia como base",La participación comunitaria y escuelas saludables,La actitud política y el esfuerzo de la administración local,Los cambios en la realidad económico-social y ordenanzas municipales,A
"Niño de 6 años que acude al servicio de terapia ocupacional derivado por la psicóloga del colegio por no seguir indicaciones, 
se distrae con facilidad, se observa disfunción en el procesamiento sensorial, pobre destreza en las habilidades motoras finas 
y presenta conductas disruptivas. Para un adecuado tratamiento. ¿Con qué tipo de evaluación debe iniciarse?",Observaciones clínicas y perfil sensorial,Cuestionarios,Integración sensorial y praxis,Perfil sensorial para la escuela,A
"Este programa pretende intervenir en el comportamiento ocupacional del niño dentro y fuera del colegio, apoyando a la 
comunidad educativa y a las familias. ¿A qué postulado pertenece?",Cuidando la mente,Apoyo escolar,Habilidades y relaciones sociales,Ocio y tiempo libre,B
"Para elaborar los planos de un futuro establecimiento de salud I-3, se reúne el equipo de salud. ¿Qué ambiente es necesario 
según normativa?",Depósito y lavado de carros,Área de internamiento,Zona de selección de residuos sólidos,Zona de almacenamiento de residuos contaminados,C
"Se define como transición epidemiológica al proceso de paso del predominio de enfermedades …… a la preponderancia de 
las enfermedades...",degenerativas / infecciosas.,crónicas / infecciosas.,infecciosas / crónicas.,infecciosas / prevalentes.,C
"Debido a que se observaron muchos casos de suicidios en adolescentes en la comunidad donde usted labora, le encargan 
realizar un estudio descriptivo sobre la depresión en adolescentes en su comunidad ¿Cuál será la principal limitante del 
estudio?",Demandará costos económicos muy elevados,Sus resultados no serán extrapolables,No permitirá hallar asociación de variables,El análisis estadístico será muy complejo,C
"¿En qué nivel de atención se realizan sesiones demostrativas de preparación de alimentos en niños y niñas menores de 36 
meses y gestantes?",Primer nivel,Segundo nivel,Todos los niveles,Tercer nivel,C
"¿Qué se define como la forma característica de pensar y hacer las cosas en una entidad, en base a principios, valores, 
creencias, conductas y normas?",Principios institucionales,Clima organizacional,Valores institucionales,Cultura organizacional,D
"El personal de un establecimiento de salud desea saber lo que debe desarrollar prioritariamente. ¿Qué componente debe 
conocer para orientar sus objetivos estratégicos?",Misión,Valores,Visión,FODA,A
"Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico 
cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es 
el nivel de atención en el que se encuentra?",I-4,I-1,I-2,I-3,C
"La ética sugiere aquello que es deseable y condena lo que no debe hacerse, mientras que la deontología cuenta con las 
herramientas administrativas para garantizar que la profesión se ejerza de manera ética. ¿Con qué debe contar un profesional 
de la salud para su ejercicio profesional?","Título profesional, colegiatura",Diplomados,Estudios de posgrado,Currículo vitae documentado,A
Ante la presencia de un caso probable de Tos Ferina. ¿Cuáles son las medidas a implementar?,"Censo de contactos, barrido vacunal, investigación del caso índice","Jornada de vacunación, quimioprofilaxis, búsqueda  de contactos indirectos","Búsqueda de casos secundarios, barrido vacunal, inamovilidad del caso","Seguimiento de contactos, búsqueda activa comunitaria e institucional, bloqueo vacunal",D
"La vacuna contra el virus del papiloma humano (VPH) a niños y niñas desde los nueve años hasta los dieciocho años, según 
el esquema nacional de vacunación vigente, con el fin de disminuir la incidencia de cáncer de cuello uterino, además de otros 
tipos de cáncer asociados al VPH y verrugas genitales. ¿Qué tipo de prevención es?",Primordial,Secundaria,Cuaternaria,Primaria,D
"Salud Escolar lleva a cabo la vacunación masiva, descarte de anemia, cuidado de la salud bucal, desparasitación a los 
alumnos de las IE públicas. En cumplimiento al derecho de ......, se hace de conocimiento a los padres de familia quienes 
firman y el personal interviene atendiendo.",consentimiento informado,autorización,justicia,beneficencia,A
"Usted va a realizar un estudio sobre la obesidad infantil en un colegio de la pequeña comunidad donde labora, pero el director 
le pide que los padres autoricen voluntariamente la participación de sus menores hijos. ¿Qué documento debe usar para este 
cometido?",Carta de investigación,Consentimiento informado,Asentimiento informado,Compromiso paterno,B
"¿Cuál es la medida de tendencia central que se interpreta como el promedio de los datos, y se construye con la suma de 
todos los datos observados entre el total de observaciones?",Media,Rango,Moda,Mediana,A
"En un estudio sobre la depresión en adolescentes en su comunidad, aplica un instrumento de detección de depresión en 
estudiantes de 5° año de secundaria de un colegio cercano al establecimiento. ¿Qué tipo de muestreo está realizando?",Estadístico,No probabilístico,Probabilístico,Censal,B
"Para investigar la relación entre la anemia y la talla de niños de 5° grado de primaria de un colegio, usted acude un día de la 
semana para medir la Hb y talla a todos ellos. ¿Qué enfoque de investigación está realizando?",Mixto,Cuantitativo,Cualitativo,Observacional,B
"¿Cuál es el tipo de prevención cuyo objetivo es disminuir el avance y las complicaciones de la enfermedad establecida, 
mediante acciones orientadas a disminuir las secuelas y la discapacidad?",Secundaria,Cuaternaria,Terciaria,Primaria,C
"Todos los años en el mes abril por la semana de vacunación en las Américas, se realizan campañas de vacunación. ¿Cuál 
es la finalidad?",Prevenir enfermedades dentro del territorio nacional,Posicionar a la vacunación en la comunidad como un derecho,Implementar políticas públicas a través del MINSA en la comunidad,Obligar a las instituciones de salud según nivel de responsabilidad a gastar,B
"La población adulto mayor dependiente con discapacidad física y/o mental; a la que se le brinda atención de salud en su 
domicilio. ¿Cómo se llama este proceso?",Cuidados paliativos,Visita domiciliaria,Consejería integral,Cuidado integral,B
"Mujer de 70 años, procedente de Loreto, hace 2 días presentó fiebre de 39°C, dolor de articulaciones y cefalea, el día de hoy 
acude al establecimiento con vómitos persistentes y sangrado de mucosas. Funciones vitales: T°: 36°C, PA: 100/70 mmHg, 
FR: 28X'. ¿Qué tipo de dengue es?",Grave,Probable con signos de alarma,Hemorrágico con signos de alarma,Confirmado sin signos de alarma,B
"¿A qué corresponde la siguiente definición?: “Es el conjunto de acciones que desarrolla un profesional de la salud mediante 
el uso de las TIC, para proporcionar a la persona usuaria de salud, consejería y asesoría con fines de promoción de la salud, 
prevención, recuperación o rehabilitación de las enfermedades”.",Teleorientación,Telemonitoreo,Teleinterconsulta,Teleconsulta,A
"Son objetivos esenciales para una atención como cobertura universal, servicios centrados en las personas, políticas públicas 
saludables y liderazgo. ¿A qué pertenecen?",Salud pública,MINSA,Atención primaria de la salud,Salud integral,C
"Llega al centro materno una gestante proveniente del sur de nuestro país, quién solicita tener un parto vertical. Como 
profesional de la salud. ¿Cómo procedería para atender y responder al requerimiento de la paciente?",Respetar su pedido,Persuadir su deseo,Enviarla a otro establecimiento,Denegarle la atención,A
"En el centro de salud de Lamas, reportan que un varón de 30 años, presenta fiebre, malestar general, sangrado y shock. Se 
informa que han aparecido muchos más casos en estos días y se sospecha de un brote de fiebre amarilla. Siendo Ro: el 
número promedio de casos nuevos que genera un caso dado a lo largo de un período infeccioso. ¿Cuál es el Ro que se 
espera tener en brote de fiebre amarilla?",Ro < 1,Ro > 0.5,Ro > 1,Ro = 0,C
"Niño de 6 años con espectro autista, presenta tono postural bajo, torpe, rompe los juguetes fácilmente, muerde a los 
compañeros en el salón de clases, busca saltar constantemente. ¿Qué tipo de disfunción sensorial presenta?",Hiperrespuesta,Registro sensorial,Planificación motriz,Hiporrespuesta,D
"La sala situacional de salud es una herramienta que ofrece evidencia sobre la eficacia de las intervenciones en salud y sobre 
la capacidad de los sistemas de salud para responder a las necesidades de salud de la población. ¿Quiénes la deben conocer 
y analizar prioritariamente?",Coordinadores de red y responsable de epidemiología,Todo el personal de salud y autoridades locales,El responsable de epidemiologia y jefe de establecimiento,Promotores de salud y responsable de promoción de la salud,B
"Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a 
un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el 
curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que 
requiere. ¿Éste enunciado se denomina?",Población indígena,Salud pública,Cultura,Interculturalidad en salud,D
"Niño de 7 años con TEA nivel I, asiste a una escuela privada, en consulta la madre refiere que la profesora manifiesta que 
debe acudir a un colegio personalizado; sin embargo, en un informe realizado por un terapeuta ocupacional remite que debe 
ser incluido en un colegio regular. Ante esta premisa se concluye que el centro educativo no cuenta con el personal 
capacitado, material educativo adaptado y accesible por lo que prefieren separarlo de la institución. ¿Qué derecho no se está 
cumpliendo?",A la accesibilidad,A la igualdad,A la educación,A la salud,C
"El lunes 30 de marzo se apersonan a un puesto de salud de categoría I-3, 15 personas con vómitos y diarrea, quienes 
participaron en una pollada el día anterior. El caso es identificado como una Enfermedad Transmitida por Alimentos. ¿En qué 
momento se realiza la notificación epidemiológica del brote al nivel inmediato superior?",Hasta las 48 horas,Cuando se reporta el VEA de la semana,Al alta de los pacientes,De manera inmediata,D
"Mujer de 40 años, con las siguientes características: menarquia a los 13 años, sin hijos, sin antecedentes de enfermedad 
mamaria o de tratamiento hormonal, niega uso de anticonceptivos. ¿Qué factor de riesgo presenta para cáncer de mama?",Post menopausia,Densidad mamaria,Nuliparidad,Genético,C
"Al Centro de Salud de Chuquibamba de la provincia de Condesuyos, acude una gestante añosa en periodo expulsivo, con 
antecedentes de preeclampsia; el parto se complica y fallecen madre y niño. Ante este evento. ¿Qué Auditoría de la Calidad 
de la Atención en Salud corresponde seguir?",Dirimente,Regular,Externa,De caso,D
"Mujer de 22 años víctima de violencia física, es derivada por la fiscalía para su atención integral en el establecimiento de 
salud. El área de psicología luego de la evaluación, inicia su plan de atención integral que constará de 10 sesiones. ¿Qué tipo 
de determinante social de la salud se está abordando?",Intermedio,Comercial,Económico,Estructural,D
"En su comunidad observa con mucha frecuencia casos de alcoholismo en varones y también violencia física de ellos contra 
sus esposas, para investigar en el menor tiempo posible, si hay asociación entre el alcoholismo y la violencia familiar. ¿Qué 
diseño de estudio elegirá?",Cohortes,Analítico,Cuasi experimental,Descriptivo,B
"Al llegar a su comunidad de SERUMS observa que hay baja adherencia a la lactancia materna por lo cual plantea hacer 
una investigación sobre factores asociados a lactancia materna. ¿Qué debe realizar en primer lugar para su estudio?",Elegir los objetivos de estudio,Elaborar su pregunta de investigación,Revisar literatura científica sobre el tema,Definir sus instrumentos de medición,C
"La ética en la función pública no se queda en la teoría (reflexión), sino que debe llevarse a la práctica para tener un adecuado 
desempeño laboral. Como profesional de salud ante un caso de un diagnóstico que es confidencial, por el tipo de enfermedad. 
¿Qué principios éticos debe cumplirse?","Silencio, manejo de la información","Veracidad, lealtad, eficiencia","Respeto, probidad y eficiencia",Respeto y atención diferenciada,C
"Usted se entera que en un EESS administraron una medicación que produjo un daño discapacitante en un paciente. ¿Qué 
medida inmediata hubiera tomado para manejar esta situación?",Mejorar el proceso de atención sanitaria en EESS,Informar a los familiares,Notificarlo al nivel inmediato superior,Medidas de mejora en el EESS,C
"Para investigar la relación entre la anemia y el peso de niños de 6° grado de primaria de un colegio, usted acude un día de la 
semana para medir la Hb y el peso a todos ellos. ¿Qué método de investigación está realizando?",Cuasi experimental,Mixto,Observacional,Experimental,C
"Los medicamentos que han perdido su eficacia y que han llevado a diezmar la efectividad en la lucha contra la tuberculosis, 
las enfermedades diarreicas y la neumonía debido a la resistencia antimicrobiana, se debe a:",Petitorio de los mismos medicamentos,Uso de medicamentos genéricos,Uso adecuado de medicamentos de marca,Uso irracional de medicamentos,D
"La salud pública está afectada por sobrepoblación mundial, grandes conflictos políticos-sociales y la pobreza creciente; como 
consecuencia inicial de estos fenómenos. ¿Qué ocurre principalmente?",El surgimiento de nuevas enfermedades,La aparición de enfermedades epidémicas,El aumento en la incidencia de enfermedades,Las crisis psicosociales,C
"En una farmacia se va a instalar el control termostático de la unidad de refrigeración. ¿Qué se debe tener en cuenta con los 
sensores?",Deben estar calibrados,Áreas con poca variabilidad en temperatura,Con exactitud de aproximadamente 0.3°C,Dependientes del sistema de monitoreo,A
"En relación al almacenamiento de medicamentos: “Las condiciones de almacenamiento deben ser las recomendadas por el 
…… y autorizadas en el rotulado del producto, pudiendo ser de congelación, temperatura de refrigeración, temperatura 
ambiente y temperatura ambiente controlada, lo cual debe estar indicado en su procedimiento …… de almacenamiento.”",fabricante / operativo,jefe / establecido,director / organizativo,farmacéutico / rutinario,A
"La orientación vocacional, formación y entrenamiento para el empleo, adaptación y readaptación, inserción laboral y 
mantenimiento del empleo, son parte del proceso de:",Puesto de trabajo,Ajuste laboral,Asertividad laboral,Rehabilitación laboral,D
"Un serumista luego de haber diagnosticado y tratado un caso clínico muy interesante, ha hecho una revisión profunda de la 
literatura sobre el tema y desea compartirlo con la comunidad científica. ¿Qué tipo de informe de investigación debe preparar?",Carta al editor,Artículo original,Revisión sistemática,Reporte de caso,C
"Madre quechua hablante de 30 años, tiene niño de un año con diarrea y deshidratación; ella niega su atención en el 
establecimiento de salud, porque según su creencia el caso corresponde a “susto” y lo debe atender el curandero. ¿Cómo 
procedes ante este caso?",Discrepas con su decisión porque no es correcto,Solicitar presidente de la comunidad que intervenga,"Llegas a un acuerdo en la terapia del niño, respetando sus creencias",Constatar con la policía y autoridad comunal,C
"La transmisión del dengue a un huésped susceptible se da a través de la picadura de un zancudo hembra infectado (Aedes 
aegypti), estos zancudos pican preferentemente ...... y transmiten la enfermedad a varias personas durante toda su vida.",al atardecer y durante la noche,al amanecer y al atardecer,a medio día y sin lluvia,solo en época de lluvias,B
"Se desea reorganizar el servicio de admisión y para ello es necesario separar las historias clínicas. ¿Cuántos años se debe 
considerar para el archivo pasivo de historias clínicas que no han sido requeridas?",Más de 15,Más de 10,Más de 1,Más de 5,D
"La pertinencia cultural en los servicios de salud implica que durante todo el proceso de la atención se tome en cuenta las 
características de la población a la que se atiende, en función a su cultura y contexto social. Evaluando cuatro dimensiones: 
gestión para la calidad de la atención, revaloración del sistema de salud tradicional, recursos humanos que promueven la 
salud intercultural y la …",participación ciudadana.,atención intercultural.,interculturalidad en salud.,inclusión social.,A
